id	date	home_team	home_team_score	visit_team	visit_team_score
400489618	2014-02-07	New York Knicks	117	Denver	90
400489629	2014-02-09	Oklahoma City	112	New York Knicks	100
400489656	2014-02-12	New York Knicks	101	Sacramento	106
400489669	2014-02-18	Memphis	98	New York Knicks	93
400489679	2014-02-19	New Orleans	91	New York Knicks	98
400489689	2014-02-21	Orlando	129	New York Knicks	121
400489700	2014-02-22	Atlanta	107	New York Knicks	98
400489716	2014-02-24	New York Knicks	108	Dallas	110
400489738	2014-02-27	Miami	108	New York Knicks	82
400489742	2014-02-28	New York Knicks	103	Golden State	126
400489756	2014-03-02	Chicago	109	New York Knicks	90
400489765	2014-03-03	Detroit	96	New York Knicks	85
400489784	2014-03-05	Minnesota	106	New York Knicks	118
400489794	2014-03-07	New York Knicks	108	Utah	81
400489801	2014-03-08	Cleveland	97	New York Knicks	107
400489819	2014-03-10	New York Knicks	123	Philadelphia	110
400489854	2014-03-15	New York Knicks	115	Milwaukee	94
400489886	2014-03-19	New York Knicks	92	Indiana	86
400489896	2014-03-21	Philadelphia	92	New York Knicks	93
400489918	2014-03-23	New York Knicks	100	Cleveland	106
400489933	2014-03-25	Los Angeles	127	New York Knicks	96
400489942	2014-03-26	Sacramento	99	New York Knicks	107
400489958	2014-03-28	Phoenix	112	New York Knicks	88
400489971	2014-03-30	Golden State	84	New York Knicks	89
400489983	2014-03-31	Utah	83	New York Knicks	92
400490009	2014-04-04	New York Knicks	89	Washington	90
400490022	2014-04-06	Miami	102	New York Knicks	91
400490050	2014-04-11	Toronto	100	New York Knicks	108
400490070	2014-04-13	New York Knicks	100	Chicago	89
400490099	2014-04-16	New York Knicks	95	Toronto	92
400488878	2014-10-30	Philadelphia 76ers	114	Miami	110
400488895	2014-11-01	Washington	102	Philadelphia 76ers	109
400488907	2014-11-02	Philadelphia 76ers	107	Chicago	104
400488921	2014-11-04	Philadelphia 76ers	90	Golden State	110
400488936	2014-11-06	Philadelphia 76ers	102	Washington	116
400488949	2014-11-08	Philadelphia 76ers	94	Cleveland	79
400488961	2014-11-09	Cleveland	127	Philadelphia 76ers	125
400488973	2014-11-11	Philadelphia 76ers	85	San Antonio	109
